district_id,province,district,yuzey_alani_km2,tesvik_bolgesi,kayit_sayisi
TR-57b015e800,AĞRI,AĞRI,0,6.0,365
TR-f76ea89095,AĞRI,DOĞUBAYAZIT(DOĞUBEYAZIT),0,6.0,365
TR-2e2c93ce11,AĞRI,DİYADİN,1351,6.0,365
TR-21e9de7516,AĞRI,ELEŞKİRT,1307,6.0,365
TR-62a5d417b3,AĞRI,HAMUR,873,6.0,365
TR-2c73e77fa9,AĞRI,PATNOS,1394,6.0,365
TR-a2a9ab5cfc,AĞRI,TAŞLIÇAY,822,6.0,365
TR-cfdca8b439,AĞRI,TUTAK,1407,6.0,365
TR-edb628286d,BALIKESİR,AYVALIK,305,3.0,365
TR-5f4861830a,BALIKESİR,BALIKESİR,0,3.0,365
TR-b30574bc0c,BALIKESİR,BALYA,797,3.0,365
TR-b719597914,BALIKESİR,BANDIRMA,755,3.0,365
TR-2152ef3e09,BALIKESİR,BURHANİYE,420,3.0,365
TR-13ee7e7270,BALIKESİR,BİGADİÇ,1108,3.0,365
TR-a508f416b5,BALIKESİR,DURSUNBEY,1719,3.0,365
TR-04d4a59945,BALIKESİR,EDREMİT,682,3.0,365
TR-a4f4e4de1b,BALIKESİR,ERDEK,307,3.0,365
TR-74a04f76b1,BALIKESİR,GÖMEÇ,171,3.0,365
TR-2a0f878f44,BALIKESİR,GÖNEN,1162,3.0,365
TR-2c29babe4e,BALIKESİR,HAVRAN,565,3.0,365
TR-507acf7610,BALIKESİR,KEPSUT,889,3.0,365
TR-f3efcaa2f7,BALIKESİR,MANYAS,634,3.0,365
TR-9837e25458,BALIKESİR,MARMARA,134,3.0,365
TR-c8c7c368e8,BALIKESİR,SAVAŞTEPE,427,3.0,365
TR-3f3295dfa6,BALIKESİR,SINDIRGI,1387,3.0,365
TR-3690263eb5,BALIKESİR,SUSURLUK,652,3.0,365
TR-2223cfbf65,BALIKESİR,İVRİNDİ,818,3.0,365
TR-1fc79128bc,BARTIN,AMASRA,178,4.0,365
TR-12cc75ff3c,BARTIN,BARTIN,0,4.0,365
TR-4c49fc92f6,BARTIN,KURUCAŞİLE,152,4.0,365
TR-5168fe5c21,BARTIN,ULUS,909,4.0,365
TR-aee2183018,BATMAN,BATMAN,0,6.0,365
TR-50320045d1,BATMAN,BEŞİRİ,809,6.0,365
TR-1fb43b55fa,BATMAN,GERCÜŞ,914,6.0,365
TR-8c8be118ce,BATMAN,HASANKEYF,293,6.0,365
TR-c612d5e162,BATMAN,KOZLUK,1101,6.0,365
TR-70b06bfa00,BATMAN,SASON,706,6.0,365
TR-1e2c06f544,BAYBURT,AYDINTEPE,446,5.0,365
TR-0ebb3fc53e,BAYBURT,BAYBURT,0,5.0,365
TR-af89eef320,BAYBURT,DEMİRÖZÜ,594,5.0,365
