il,ilce,yuzey_alani_km2
ÇORUM,DODURGA,229.0
ÇORUM,İSKİLİP,1170.0
ÇORUM,KARGI,1174.0
ÇORUM,LÂÇİN,196.0
ÇORUM,MECİTÖZÜ,825.0
ÇORUM,OĞUZLAR,121.0
ÇORUM,ORTAKÖY,300.0
ÇORUM,OSMANCIK,1273.0
ÇORUM,SUNGURLU,1999.0
ÇORUM,UĞURLUDAĞ,428.0
DENİZLİ,ACIPAYAM,1772.0
DENİZLİ,BABADAĞ,124.0
DENİZLİ,BAKLAN,283.0
DENİZLİ,BEKİLLİ,304.0
DENİZLİ,BEYAĞAÇ,333.0
DENİZLİ,BOZKURT,462.0
DENİZLİ,BULDAN,523.0
DENİZLİ,ÇAL,860.0
DENİZLİ,ÇAMELİ,758.0
DENİZLİ,ÇARDAK,423.0
DENİZLİ,ÇİVRİL,1570.0
DENİZLİ,GÜNEY,362.0
DENİZLİ,HONAZ,449.0
DENİZLİ,KALE,684.0
DENİZLİ,MERKEZEFENDİ,336.0
DENİZLİ,PAMUKKALE,823.0
DENİZLİ,SARAYKÖY,379.0
DENİZLİ,SERİNHİSAR,256.0
DENİZLİ,TAVAS,1432.0
DİYARBAKIR,BAĞLAR,429.0
DİYARBAKIR,BİSMİL,1679.0
DİYARBAKIR,ÇERMİK,948.0
DİYARBAKIR,ÇINAR,1934.0
DİYARBAKIR,ÇÜNGÜŞ,512.0
DİYARBAKIR,DİCLE,738.0
DİYARBAKIR,EĞİL,449.0
DİYARBAKIR,ERGANİ,1510.0
DİYARBAKIR,HANİ,436.0
DİYARBAKIR,HAZRO,426.0
DİYARBAKIR,KAYAPINAR,480.0
DİYARBAKIR,KOCAKÖY,248.0
DİYARBAKIR,KULP,1493.0
DİYARBAKIR,LİCE,982.0
DİYARBAKIR,SİLVAN,1252.0
DİYARBAKIR,SUR,1227.0
DİYARBAKIR,YENİŞEHİR,358.0
DÜZCE,AKÇAKOCA,380.0
DÜZCE,CUMAYERİ,113.0
DÜZCE,ÇİLİMLİ,85.0
DÜZCE,DÜZCE_MERKEZ,710.0
DÜZCE,GÖLYAKA,228.0
DÜZCE,GÜMÜŞOVA,103.0
DÜZCE,KAYNAŞLI,237.0
DÜZCE,YIĞILCA,636.0
EDİRNE,EDİRNE_MERKEZ,844.0
EDİRNE,ENEZ,455.0
EDİRNE,HAVSA,545.0
EDİRNE,İPSALA,741.0
EDİRNE,KEŞAN,1098.0
EDİRNE,LALAPAŞA,497.0
EDİRNE,MERİÇ,438.0
EDİRNE,SÜLOĞLU,342.0
EDİRNE,UZUNKÖPRÜ,1185.0
ELAZIĞ,AĞIN,242.0
ELAZIĞ,ALACAKAYA,318.0
ELAZIĞ,ARICAK,354.0
